# Revision History
# Author,OpenAI Codex
# Date,2026-06-26
# Change,Initial repository export generated by Get_Repositories.py v1.0.0

# File Description
# Summary,"Repository data read from a GitHub organization and filtered automatically by visibility, archive status, and activity cutoff."
# Generation Process,Two-stage process: stage 1 automated export by script; stage 2 optional manual filtering if repository-side tags or metadata are missing.
# Source Script,Get_Repositories.py v1.0.0
# Suggested Workflows,"Excel review, manual repository qualification, and follow-on automation workflows that consume repository lists."
# Organization,open-cmisis-pack
# GitHub API Organization,Open-CMSIS-Pack
# Activity Cutoff,2024-06-01

# Field Descriptions
# repository,Repository name in the selected GitHub organization.
# last_push,Timestamp of the latest push reported by GitHub.
# visibility,Normalized repository visibility status after API readout.
# archived,Archive flag returned by GitHub for the repository.
# unique_visitors_14d,Unique repository visitors in the last 14 days.
# unique_cloners_14d,Unique repository cloners in the last 14 days.
# total_views_14d,Total repository page views in the last 14 days.
# traffic_status,"Traffic readout result, for example OK or an API access message."

repository,last_push,visibility,archived,unique_visitors_14d,unique_cloners_14d,total_views_14d,traffic_status
STM32H7S78-DK_BSP,2026-02-18T14:16:55Z,PUBLIC,FALSE,2,23,6,OK
STM32H7RSxx_DFP,2026-02-18T14:04:50Z,PUBLIC,FALSE,5,61,10,OK
STM32H7B3I-EVAL_BSP,2026-02-18T13:47:17Z,PUBLIC,FALSE,1,21,1,OK
STM32H7B3I-DK_BSP,2026-02-18T13:41:01Z,PUBLIC,FALSE,0,17,0,OK
STM32H747I-EVAL_BSP,2026-02-18T13:34:25Z,PUBLIC,FALSE,3,21,11,OK
STM32H745I-DISCO_BSP,2026-02-18T13:28:14Z,PUBLIC,FALSE,1,21,1,OK
STM32H743I-EVAL_BSP,2026-02-18T13:22:12Z,PUBLIC,FALSE,6,19,13,OK
STM32H735G-DK_BSP,2026-02-18T13:05:26Z,PUBLIC,FALSE,2,20,4,OK
STM32G4xx_DFP,2026-02-18T12:45:09Z,PUBLIC,FALSE,88,71,195,OK
STM32G474E-EVAL1_BSP,2026-02-18T12:37:46Z,PUBLIC,FALSE,4,18,7,OK
STM32G0xx_DFP,2026-02-18T12:29:24Z,PUBLIC,FALSE,66,62,145,OK
STM32G071B-DISCO_BSP,2026-02-18T12:24:40Z,PUBLIC,FALSE,3,19,3,OK
STM32F7xx_DFP,2026-02-18T12:11:16Z,PUBLIC,FALSE,27,60,59,OK
STM32F769I-EVAL_BSP,2026-02-18T11:48:01Z,PUBLIC,FALSE,1,20,3,OK
STM32F769I-DISCO_BSP,2026-02-18T11:31:31Z,PUBLIC,FALSE,0,20,0,OK
STM32F746G-DISCO_BSP,2026-02-18T09:52:05Z,PUBLIC,FALSE,3,18,3,OK
STM32F4xx_DFP,2026-02-18T09:10:47Z,PUBLIC,FALSE,450,64,914,OK
STM32F469I-DISCO_BSP,2026-02-17T16:42:21Z,PUBLIC,FALSE,0,20,0,OK
STM32F429I-DISC1_BSP,2026-02-17T15:56:57Z,PUBLIC,FALSE,6,20,16,OK
STM32F407G-DISC1_BSP,2026-02-17T15:48:30Z,PUBLIC,FALSE,17,20,30,OK
STM32F3xx_DFP,2026-02-17T15:42:20Z,PUBLIC,FALSE,21,60,31,OK
STM32F3DISCOVERY_BSP,2026-02-17T15:31:43Z,PUBLIC,FALSE,2,19,2,OK
STM32F3348-DISCO_BSP,2026-02-17T15:21:10Z,PUBLIC,FALSE,0,19,0,OK
STM32F2xx_DFP,2026-02-17T15:11:05Z,PUBLIC,FALSE,23,61,40,OK
STM32F0xx_DFP,2026-02-17T15:04:52Z,PUBLIC,FALSE,74,70,142,OK
STM32F0DISCOVERY_BSP,2026-02-17T14:57:17Z,PUBLIC,FALSE,0,21,0,OK
STM32F072B-DISCO_BSP,2026-02-17T14:49:14Z,PUBLIC,FALSE,3,20,3,OK
STM32C0xx_DFP,2026-02-17T13:24:32Z,PUBLIC,FALSE,19,63,58,OK
STM32C0316-DK_BSP,2026-02-17T13:08:00Z,PUBLIC,FALSE,0,21,0,OK
STM32C0116-DK_BSP,2026-02-17T12:08:54Z,PUBLIC,FALSE,2,21,55,OK
STM32373C-EVAL_BSP,2026-02-17T11:50:58Z,PUBLIC,FALSE,1,20,1,OK
STM32303E-EVAL_BSP,2026-02-17T10:35:54Z,PUBLIC,FALSE,1,20,1,OK
ST_NUCLEO-WL55JC_BSP,2026-02-16T16:31:10Z,PUBLIC,FALSE,3,21,4,OK
ST_NUCLEO-WB55RG_BSP,2026-02-16T13:58:22Z,PUBLIC,FALSE,1,20,1,OK
ST_NUCLEO-L053R8_BSP,2026-02-16T13:47:53Z,PUBLIC,FALSE,3,22,9,OK
csolution-templates,2026-01-26T09:12:34Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
ST_NUCLEO-L152RE_BSP,2026-01-22T06:11:18Z,PUBLIC,FALSE,0,23,0,OK
ST_NUCLEO-F429ZI_BSP,2026-01-21T06:53:02Z,PUBLIC,FALSE,7,19,16,OK
Zephyr-Alif,2026-01-19T15:17:59Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
ST_NUCLEO-F412ZG_BSP,2026-01-16T16:40:03Z,PUBLIC,FALSE,4,19,8,OK
Zephyr-ST,2026-01-16T15:54:47Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
ST_NUCLEO-F401RE_BSP,2026-01-15T08:49:45Z,PUBLIC,FALSE,7,19,21,OK
ST_NUCLEO-F091RC_BSP,2026-01-15T06:10:18Z,PUBLIC,FALSE,1,19,1,OK
ST_NUCLEO-F030R8_BSP,2026-01-15T06:09:49Z,PUBLIC,FALSE,4,20,4,OK
ST_NUCLEO-H743ZI2_BSP,2026-01-14T14:32:59Z,PUBLIC,FALSE,7,21,8,OK
ST_NUCLEO-F746ZG_BSP,2026-01-14T13:54:24Z,PUBLIC,FALSE,0,16,0,OK
ST_NUCLEO-H563ZI_BSP,2025-12-09T13:47:40Z,PUBLIC,FALSE,3,19,15,OK
ST_NUCLEO-G474RE_BSP,2025-12-09T13:45:43Z,PUBLIC,FALSE,4,20,8,OK
ST_NUCLEO-G0B1RE_BSP,2025-12-09T13:45:15Z,PUBLIC,FALSE,4,18,24,OK
